date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:38:22	394/394	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Jul%202024%2014:38:22%20GMT	https://aetxgamef.my.canvasite.cn/robots.txt		(from )
22:38:22	70135/70135	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2014:36:34%20GMT	https://aetxgamef.my.canvasite.cn/	F:/AeTxGamef/AeTxGamef1/aetxgamef.my.canvasite.cn/index.html	(from )
22:38:22	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2005%20Jul%202024%2014:38:22%20GMT	http://aetxgamef.my.canvasite.cn/26387fa4f5b1e3f7b6217b27d79bf264.png	F:/AeTxGamef/AeTxGamef1/aetxgamef.my.canvasite.cn/26387fa4f5b1e3f7b6217b27d79bf264.0.delayed	(from https://aetxgamef.my.canvasite.cn/)
22:38:23	510/510	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Jul%202024%2012:27:20%20GMT	https://aetxgamef.my.canvasite.cn/26387fa4f5b1e3f7b6217b27d79bf264.png	F:/AeTxGamef/AeTxGamef1/aetxgamef.my.canvasite.cn/26387fa4f5b1e3f7b6217b27d79bf264.png	(from https://aetxgamef.my.canvasite.cn/)
22:38:23	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2005%20Jul%202024%2014:38:23%20GMT	http://aetxgamef.my.canvasite.cn/2d0b56e7e51cf11036ad8734bdb67e2d.png	F:/AeTxGamef/AeTxGamef1/aetxgamef.my.canvasite.cn/2d0b56e7e51cf11036ad8734bdb67e2d.png	(from https://aetxgamef.my.canvasite.cn/)
22:38:23	1053/1053	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Jul%202024%2012:27:21%20GMT	https://aetxgamef.my.canvasite.cn/2d0b56e7e51cf11036ad8734bdb67e2d.png	F:/AeTxGamef/AeTxGamef1/aetxgamef.my.canvasite.cn/2d0b56e7e51cf11036ad8734bdb67e2d.png	(from https://aetxgamef.my.canvasite.cn/)
22:38:23	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2005%20Jul%202024%2014:38:23%20GMT	http://aetxgamef.my.canvasite.cn/725b756a69a7d4c235070e51acd85560.png	F:/AeTxGamef/AeTxGamef1/aetxgamef.my.canvasite.cn/725b756a69a7d4c235070e51acd85560.png	(from https://aetxgamef.my.canvasite.cn/)
22:38:23	6245/6245	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Jul%202024%2012:27:21%20GMT	https://aetxgamef.my.canvasite.cn/725b756a69a7d4c235070e51acd85560.png	F:/AeTxGamef/AeTxGamef1/aetxgamef.my.canvasite.cn/725b756a69a7d4c235070e51acd85560.png	(from https://aetxgamef.my.canvasite.cn/)
22:38:24	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2005%20Jul%202024%2014:38:24%20GMT	http://aetxgamef.my.canvasite.cn/fonts/ce4233a15aef988f587a9601fd876c1c.woff	F:/AeTxGamef/AeTxGamef1/aetxgamef.my.canvasite.cn/fonts/ce4233a15aef988f587a9601fd876c1c.woff	(from https://aetxgamef.my.canvasite.cn/)
22:38:24	2376/2376	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2005%20Jul%202024%2012:27:22%20GMT	https://aetxgamef.my.canvasite.cn/fonts/ce4233a15aef988f587a9601fd876c1c.woff	F:/AeTxGamef/AeTxGamef1/aetxgamef.my.canvasite.cn/fonts/ce4233a15aef988f587a9601fd876c1c.woff	(from https://aetxgamef.my.canvasite.cn/)
